model_name,horizon,target,dataset,nRMSE,nMAE,NSE,KGE
LSTM_FC,1,Diatoms,test,0.9238266200058718,0.6789503881737764,-0.09198817835175754,0.03858547512353372
LSTM_FC,1,Cryptophyta,test,0.6151602180401702,0.47392868636292784,-0.37595306473320145,0.0793943287083031
LSTM_FC,1,Algae_Sum,test,0.4413959376129482,0.350901821298039,0.08017130673275541,0.2572442010613434
LSTM_FC,2,Green_Algae,test,2.2202670729206657,1.7250965882892988,-0.13247372395760193,-0.22616567391063436
LSTM_FC,2,Cyanobacteria,test,0.5145964765596241,0.4242616471027747,0.008585069418048596,0.04730111352287514
LSTM_FC,2,Diatoms,test,0.9319658815565394,0.6912223698270485,-0.11015332430996638,0.023673422608753825
LSTM_FC,2,Cryptophyta,test,0.6721025448332236,0.5160948422823655,-0.6190649464243341,-0.06790251789328372
LSTM_FC,2,Algae_Sum,test,0.5787381508895161,0.45460384328716347,-0.5509280241574797,-0.12385069692246775
LSTM_FC,3,Green_Algae,test,2.55143883154139,2.0166769589059843,-0.5027104888911647,-0.11857974050700681
LSTM_FC,3,Cyanobacteria,test,0.5581367788334087,0.46127986753269223,-0.1528935026645939,-0.12274237092289919
LSTM_FC,3,Diatoms,test,1.0368106780134048,0.7669302696788917,-0.37436476417387676,-0.1577016735473824
LSTM_FC,3,Cryptophyta,test,0.6946611858260499,0.5293274767877243,-0.7323397645578944,-0.1742996150371121
LSTM_FC,3,Algae_Sum,test,0.6049569299206957,0.4826724933226805,-0.6761475632111171,-0.27310780577994653
LSTM_MLP,1,Green_Algae,train,0.2944998546916605,0.20478226213513875,0.8770410376094788,0.8889020547681192
LSTM_MLP,1,Cyanobacteria,train,0.2542156473454946,0.178106878359121,0.8237244341614405,0.8531862418841742
LSTM_MLP,1,Diatoms,train,0.34985489780012974,0.24518973582621575,0.8523672082491751,0.8711693339265193
LSTM_MLP,1,Cryptophyta,train,0.4432380007525672,0.30333570838662677,0.7971085696609235,0.7716832077386797
LSTM_MLP,1,Algae_Sum,train,0.21999916521426496,0.159090394848103,0.8486413335828851,0.8656858073907072
LSTM_MLP,2,Green_Algae,train,0.314697117096393,0.22039194098463796,0.859728569919518,0.8704700970534381
LSTM_MLP,2,Cyanobacteria,train,0.2771063095985324,0.19305341187018266,0.7905840773865858,0.8262382992296086
LSTM_MLP,2,Diatoms,train,0.3825609843517979,0.2668517575635781,0.8238504645410202,0.8535898066086502
LSTM_MLP,2,Cryptophyta,train,0.4599341847739342,0.31530921505621184,0.7818390582296697,0.7718826956627571
